code,description,required_qty,cost,retail
913000000459,F /ASS HI-FLEX AFLEX FR D,23,19.6349881235154,290
913000000017,F /ASS HILTON & BENTLEY,28,50.1541860465116,250
913000000475,F /ASS HONEY FR D,26,15,250
913000000042,F /ASS HUANGSHI & SHILIG,9,35.6,140
913000000023,F /ASS I-CARE ,96,19.3133064516129,250
913000000843,F /ASS ICE FIRE FR D,6,34,140
913000000861,F /ASS IMP FR D,1,34,140
913000000011,F /ASS ITALIAN STYLE,2141,24,140
913000000380,F /ASS ITALIYA TEAM F2,602,11.8249917355372,0
913000000737,F /ASS JACQUE,3,26.7553703703704,250
913000000032,F /ASS JAGUAR,3,71.665,250
913000000004,F /ASS JUNIOR MARINES,4,31,140
913000000478,F /ASS KIDS ALBERTO MODIANI,19,57.345,290
913000000361,F /ASS KISS BADY FR D,105,11.365,190
913000000433,F /ASS L.BRIDGE FERU,2,45.4630039525692,450
913000000024,F /ASS L.BRIDGE FR,405,28.0108464223386,290
913000000770,F /ASS L.BRIDGE MM3 FR FERU,-2,34.325,320
913000000735,F /ASS L.D LARA D ITALY FR,23,26.9228571428571,250
913000000258,F /ASS LACOSTE FR D,3,37.245,290
913000000585,F /ASS LACOSTE ITALY F2,5,93.3355555555556,350
913000000048,F /ASS LANVIN,23,150.383333333333,340
913000000106,F /ASS LARA D,3,90.7,250
913000000212,F /ASS LAURA BIAGIOTTI,8,42.2586597938144,480
913000000321,F /ASS LES TRIPLES,1,47.5,280
913000000128,F /ASS LEVIS FR D,1,16.5255033557047,250
913000000390,F /ASS LIEVISSIMO FR ITALY,186,59.7958429118774,350
913000000089,F /ASS LINK F2,5,141.812580645161,430
913000000103,F /ASS LINK VISTA,339,41.4549875930521,360
913000000477,F /ASS LOTUS & RETRO F2 D,1,95.4,350
913000000426,F /ASS LOTUS SPORT ITALY F2,1,39.97,320
913000000873,F /ASS LOUIS VUITTON F2 D,4,95.64,350
913000000554,F /ASS LUCA ITALY,2,33.2042857142857,450
913000000874,F /ASS LUCKY LUCK YSTAY FRD,6,50,220
913000000129,F /ASS LUMIX FR D,146,6.59497872340426,250
913000000540,F /ASS M32 STYLEAJ FR ITALY,8,20.0767676767677,250
913000000556,F /ASS MADE IN ITALY F2,9,24.8091666666667,450
913000000714,F /ASS MAN ITALY FR,1,20.1882766439909,290
913000000769,F /ASS MANDARINA DUCK ITALY,17,24.3477056277056,380
913000000041,F /ASS MARC JACOBS,1,64.665,250
913000000257,F /ASS MARIO FR D,1,76.753,490
913000000946,F /ASS MARKIOM & WILD FR D,2,34,140
913000000882,F /ASS MARTION F1 F2,8,34,140
913000000409,F /ASS MARWITS CONQUISTADOR,3,57.085,490
913000000407,F /ASS MAX & C.MAX FR,2,41.695,140
913000000732,F /ASS MAXEY ITALY FR,48,26.825,250
913000000039,F /ASS MICKEY & DISNEY,277,43.5511666666667,190
913000000154,F /ASS MIKI MOTO & MIQIA,14,37.8747619047619,140
913000000526,F /ASS MILLION FR D,9,20.5349848942598,290
913000000715,F /ASS MONO ITALY FR,59,26.7373831775701,250
913000000465,F /ASS MURANO ITALY FR,42,59.785,350
913000000757,F /ASS MURANO SWAROVSKI RIMLES ITA,56,147.474935064935,450
913000000569,F /ASS NEOMETAL OPTIK FR IT,218,19.564976744186,290
913000000180,F /ASS NEW STYLE,97,159.0409375,250
913000000889,F /ASS NO NAME N-LABEL,32,33.3,140
913000000472,F /ASS NOBEL FR D,2,15,250
913000000184,F /ASS NUF NUF / NAF NAF,14,27.7776470588235,140
913000000383,F /ASS OGAMI & IMAGO FR,9,93.0323076923077,450
913000000238,F /ASS OLISA / ELISA,1,47.6666666666667,160
913000000044,F /ASS OPERA & AIR FORCE,290,20,120
913000000537,F /ASS OPTI FASHION FR,410,25.494996996997,250
913000000890,F /ASS ORANGE&OSCAR&OULEIKE,6,34,140
913000000523,F /ASS OX3 ITALY FR,1,73.35,350
913000000124,F /ASS OXEMBERG FR D,32,10.0655431754875,250
913000000366,F /ASS OXEMBERY FR D,113,18.3168656716418,250
913000000467,F /ASS OXEMBERY FR D+TEMPLE,1,28,350
913000000333,F /ASS P&D F2 ES,2,18.8,250
913000000018,F /ASS P.MOREL COURREGES,458,64.9264583333333,150
913000000019,F /ASS P.MOREL FOREVER,126,120.847777777778,200
913000000122,F /ASS P.MOREL MODELS PM,307,61.2276147959184,140
913000000504,F /ASS PASOLINI FR D,4,33.334,250
913000000610,F /ASS PAUL VOSHERENT ITALY,2,19.5633333333333,350
913000000153,F /ASS PAULO PHILIP,218,42,220
913000000255,F /ASS PEOPLE METAL FR,67,39.81496,320
913000000575,F /ASS PHASCINO ITALY ,44,19.565,350
913000000437,F /ASS PILOT F1 D,4,23.0980434782609,350
913000000105,F /ASS PLAY BOY F2,1,166.5,450
913000000022,F /ASS PLAY KIDS,863,32.4246812957158,190
913000000136,F /ASS POLICE F2 D,12,35.8647619047619,350
913000000286,F /ASS POLICE FR D,2,25.56,250
913000000530,F /ASS PORSCH DESIGN FR D,2,28.33,220
913000000535,F /ASS PORSCHE F1 F2,8,83.2027272727273,350
913000000123,F /ASS PREMOFLEX,12,11,200
913000000384,F /ASS PRIVACY FR,115,47.8259649122807,250
913000000544,F /ASS QEYES FR ITALY,42,81.9559016393443,250
913000000771,F /ASS QX3 LINE ITALY FR,74,73.9949795918367,350
913000000325,F /ASS R. BALESTRA - OLD,1,288.55,550
913000000138,F /ASS RAY BAN F2 D,15,43.234962962963,350
913000000213,F /ASS RECORD,2,32.395,250
913000000899,F /ASS RENA ISSANCE & RODEA,2,0,140
913000000421,F /ASS RENATO BALESTRA F2,33,85.2949333333333,450
913000000423,F /ASS RENATO BALESTRA FR,177,66.5693688362919,550
913000000230,F /ASS REPLAY ITALY,3,61.145,420
913000000718,F /ASS REVA LAUTION ITALY F,7,26.712,250
913000000164,F /ASS ROBERTO CAPUCCI,2,45,280
913000000499,F /ASS ROBERTO VERINO F,8,52.8684501845018,450
913000000197,F /ASS ROLINO & ROLLING,9,45,140
913000000298,F /ASS ROMEO GIGLI FR,15,173.39,600
913000000654,F /ASS S.FERRAGAMO ITALY F2,1,231.75,1080
913000000110,F /ASS S.L.R,12,65.0646666666667,350
913000000036,F /ASS S.OLIVER & SAWADA F2,3,123.1,180
913000000189,F /ASS SABEL SIMPSON,163,82,220
913000000373,F /ASS SCALINI F2,5,73.7677419354839,450
913000000344,F /ASS SCALINI FR,5,68.2001960784314,400
913000000645,F /ASS SCORPION & SHREK FR,5,34,140
913000000903,F /ASS SEA FORCE F2,1,0,180
913000000773,F /ASS SECG KIDS FR,245,11.3116784869976,250
913000000430,F /ASS SENTOSA FR D,3,24.38,250
913000000080,F /ASS SEVENTY,4,50,350
913000000905,F /ASS SILVER & SISLEY FR D,2,30.833,140
913000000524,F /ASS SMART EYES F2,58,22.515,480
913000000497,F /ASS SMART EYES FR,709,20.7549962149886,290
913000000694,F /ASS SMART EYEWEAR ITALY,163,26.9997354497355,250
913000000906,F /ASS SNOOPY & SOHA FR D,5,34,140
913000000543,F /ASS SPEC SAVERS FR ITALY,5,15.3549122807018,250
913000000538,F /ASS ST DUPONT FR ITALY,35,20.0718181818182,350
913000000084,F /ASS STUDIO & SUNMOOD F2,6,31.7142857142857,140
913000000754,F /ASS STYLE BAN A213 F2,223,62.7845161290323,320
913000000560,F /ASS STYLE OPTIQUE,544,30.91,270
913000000176,F /ASS STYLRITE,31,15.0348148148148,120
913000000097,F /ASS SUNBLADE,13,249.801904761905,600
913000000005,F /ASS SUNRISE,46,22.3314925373134,280
913000000372,F /ASS SUNRISE ITALY,16,34.065,290
913000000109,F /ASS SURVIVOR F2,67,21.4220289855072,250
913000000911,F /ASS SWIMMI & TISSOT FR D,4,65,220
913000000759,F /ASS SWING F2,5,34.5734821428571,500
913000000652,F /ASS SWING FR,2,28.7448201438849,450
913000000382,F /ASS T.606 F2 ITALY NO NA,7,36.63,300
913000000376,F /ASS T.I.TECH,13,204.898571428571,710
913000000451,F /ASS T39 FR D,17,14.955,290
913000000166,F /ASS TANGA,12,50,230
913000000595,F /ASS TAUSCHEK FR ITALY,3,19.5633333333333,640
913000000617,F /ASS THEMA FR ITALY THIMA,15,24.8678571428571,420
913000000306,F /ASS TIFFANY F2 ITALY,7,33.15,450
913000000201,F /ASS TITANIC ITALY FR,100,59.255,250
913000000590,F /ASS TODS ITALY F1,1,136.034864864865,760
